KEY,DEFAULT_VALUE,SPIROU_VALUE,HARPS_VALUE,ESPRESSO_VALUE,CARMENES_VALUE,DESCRIPTION
STELLAR_WAVE_URL,None,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/,the wave url for the stellar models
STELLAR_WAVE_FILE,None,WAVE_PHOENIX-ACES-AGSS-COND-2011.fits,WAVE_PHOENIX-ACES-AGSS-COND-2011.fits,WAVE_PHOENIX-ACES-AGSS-COND-2011.fits,WAVE_PHOENIX-ACES-AGSS-COND-2011.fits,the wave file for the stellar models (using wget)
STELLAR_MODEL_URL,None,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/PHOENIX-ACES-AGSS-COND-2011/{ZSTR}{ASTR}/,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/PHOENIX-ACES-AGSS-COND-2011/{ZSTR}{ASTR}/,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/PHOENIX-ACES-AGSS-COND-2011/{ZSTR}{ASTR}/,ftp://phoenix.astro.physik.uni-goettingen.de/HiResFITS/PHOENIX-ACES-AGSS-COND-2011/{ZSTR}{ASTR}/,the stellar model url
MASK_SNR_MIN,None,5,5,20,5,the minimum allowed SNR in a pixel to add it to the mask
STELLAR_MODEL_FILE,None,lte{TEFF}-{LOGG}-{ZVALUE}{ASTR}.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits,lte{TEFF}-{LOGG}-{ZVALUE}{ASTR}.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits,lte{TEFF}-{LOGG}-{ZVALUE}{ASTR}.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits,lte{TEFF}-{LOGG}-{ZVALUE}{ASTR}.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits,"Define the stellar model file name (using wget, with appriopriate format cards)"
OBJECT_TEFF,None,None,None,None,None,the object temperature (stellar model)
OBJECT_LOGG,None,4.5,4.5,4.5,4.5,the object surface gravity (log g) (stellar model)
OBJECT_Z,None,0.0,0.0,0.0,0.0,the object Z (stellar model)
OBJECT_ALPHA,None,0.0,0.0,0.0,0.0,the object alpha (stellar model)
BLAZE_SMOOTH_SIZE,None,20,20,20,20,blaze smoothing size (s1d template)
BLAZE_THRESHOLD,None,0.2,0.2,0.2,0.2,blaze threshold (s1d template)
TEMPLATE_MJDSTART,None,None,None,None,None,the earliest allowed FP calibration used for template construction (None for unset)
TEMPLATE_MJDEND,None,None,None,None,None,the latest allowed FP calibration used for template construction (None for unset)
BERVBIN_MIN_ENTRIES,3,3,3,3,3,the minimum number of observations required for a template berv bin
DO_TELLUCLEAN,None,False,True,True,True,whether to do the tellu-clean
TELLUCLEAN_USE_TEMPLATE,True,True,True,True,True,whether to use template in tellu-cleaning
TELLUCLEAN_TAPAS_URL,https://www.astro.umontreal.ca/~artigau/lbl/tapas_lbl.fits,https://www.astro.umontreal.ca/~artigau/lbl/tapas_lbl.fits,https://www.astro.umontreal.ca/~artigau/lbl/tapas_lbl.fits,https://www.astro.umontreal.ca/~artigau/lbl/tapas_lbl.fits,https://www.astro.umontreal.ca/~artigau/lbl/tapas_lbl.fits,the tapas url used in tellu-cleaning
TELLUCLEAN_DV0,None,None,0,0,0,the dv offset for tellu-cleaning in km/s
TELLUCLEAN_MASK_DOMAIN_LOWER,None,None,500,550,600,the lower wave limit for the absorber spectrum masks in nm
TELLUCLEAN_MASK_DOMAIN_UPPER,None,None,700,670,900,the upper wave limit for the absorber spectrum masks in nm
TELLUCLEAN_FORCE_AIRMASS,None,None,False,True,False,whether to force using airmass from header
TELLUCLEAN_CCF_SCAN_RANGE,None,None,50,150,25,the CCF scan range in km/s
TELLUCLEAN_MAX_ITERATIONS,20,20,20,20,20,the maximum number of iterations for the tellu-cleaning loop
TELLUCLEAN_KERNEL_WID,None,None,1.4,1.4,1.4,the kernel width in pixels
TELLUCLEAN_GAUSSIAN_SHAPE,None,None,2.2,2.2,2.2,"the gaussian shape (2=pure gaussian, >2=boxy"
TELLUCLEAN_WAVE_LOWER,None,None,350,350,520,the wave grid lower wavelength limit in nm
TELLUCLEAN_WAVE_UPPER,None,None,750,750,1000,the wave grid upper wavelength limit in nm
TELLUCLEAN_TRANSMISSION_THRESHOLD,-1,-1,-1,-1,-1,the transmission threshold exp(-1) at which tellurics are uncorrectable
TELLUCLEAN_SIGMA_THRESHOLD,10,10,10,10,10,the sigma cut threshold above which pixels are removed from fit
TELLUCLEAN_RECENTER_CCF,None,None,False,False,False,whether to recenter the CCF on the first iteration
TELLUCLEAN_RECENTER_CCF_FIT_OTHERS,None,None,False,True,True,whether to recenter the CCF on the first iteration
TELLUCLEAN_DEFAULT_WATER_ABSO,None,None,0.5,5.0,5.0,the default water absorption to use
TELLUCLEAN_WATER_BOUNDS_LOWER,None,None,0.01,0.05,0.05,the lower limit on valid exponent of water absorbers
TELLUCLEAN_WATER_BOUNDS_UPPER,None,None,15,15,15,the upper limit on valid exponent of water absorbers
TELLUCLEAN_OTHERS_BOUNDS_LOWER,None,None,0.05,0.05,0.05,the lower limit on valid exponent of other absorbers
TELLUCLEAN_OTHERS_BOUNDS_UPPER,None,None,15,15,15,the upper limit on valid exponent of other absorbers
COMMAND_LINE_ARGS,None,[],[],[],[],storage of command line arguments used
KW_WAVECOEFFS,None,WAVE{0:04d},HIERARCH ESO DRS CAL TH COEFF LL{0},NONE,NONE,Wave coefficients header key
KW_WAVEORDN,None,WAVEORDN,HIERARCH ESO DRS CAL TH ORDER NBR,HIERARCH ESO DRS CAL TH ORDER NBR,NONE,wave num orders key in header
KW_WAVEDEGN,None,WAVEDEGN,HIERARCH ESO DRS CAL TH DEG LL,HIERARCH ESO DRS CAL TH DEG LL,NONE,wave degree key in header
KW_MID_EXP_TIME,None,MJDMID,HIERARCH ESO DRS BJD,HIERARCH ESO QC BJD,HIERARCH CARACAL MJD-OBS,mid exposure time in MJD
KW_SNR,None,EXTSN035,HIERARCH ESO DRS SPE EXT SN47,HIERARCH ESO QC ORDER100 SNR,HIERARCH CARACAL FOX SNR 50,snr key in header
KW_BERV,None,BERV,HIERARCH ESO DRS BERV,HIERARCH ESO QC BERV,HIERARCH CARACAL BERV,the barycentric correction keyword
KW_BLAZE_FILE,None,CDBBLAZE,HIERARCH ESO DRS BLAZE FILE,HIERARCH ESO PRO REC1 CAL20 CATG,NONE,The Blaze calibration file
KW_NITERATIONS,ITE_RV,ITE_RV,ITE_RV,ITE_RV,ITE_RV,the number of iterations
KW_SYSTEMIC_VELO,SYSTVELO,SYSTVELO,SYSTVELO,SYSTVELO,SYSTVELO,the systemic velocity in m/s
KW_RMS_RATIO,RMSRATIO,RMSRATIO,RMSRATIO,RMSRATIO,RMSRATIO,the rms to photon noise ratio
KW_CCF_EW,CCF_EW,CCF_EW,CCF_EW,CCF_EW,CCF_EW,the e-width of LBL CCF
KW_HP_WIDTH,HP_WIDTH,HP_WIDTH,HP_WIDTH,HP_WIDTH,HP_WIDTH,the high-pass LBL width [km/s]
KW_VERSION,LBL_VERS,LBL_VERS,LBL_VERS,LBL_VERS,LBL_VERS,the LBL version
KW_VDATE,LBLVDATE,LBLVDATE,LBLVDATE,LBLVDATE,LBLVDATE,the LBL version
KW_PDATE,LBLPDATE,LBLPDATE,LBLPDATE,LBLPDATE,LBLPDATE,the LBL processed date
KW_INSTRUMENT,LBLINSTR,LBLINSTR,LBLINSTR,LBLINSTR,LBLINSTR,the LBL processed date
KW_MJDATE,None,MJDATE,HIERARCH ESO DRS BJD,HIERARCH ESO QC BJD,HIERARCH CARACAL MJD-OBS,the start time of the observation
KW_EXPTIME,None,EXPTIME,HIERARCH ESO DET WIN1 DIT1,HIERARCH ESO QC BJD,EXPTIME,the exposure time of the observation
KW_AIRMASS,None,AIRMASS,HIERARCH ESO TEL AIRM START,"['HIERARCH ESO TEL1 AIRM START', 'HIERARCH ESO TEL2 AIRM START', 'HIERARCH ESO TEL3 AIRM START']",AIRMASS,the airmass of the observation
KW_DATE,None,DATE-OBS,DATE,DATE,DATE-OBS,the human date of the observation
KW_TAU_H2O,None,TLPEH2O,TLPEH2O,TLPEH2O,TLPEH2O,the tau_h20 of the observation
KW_TAU_OTHERS,None,TLPEOTR,TLPEOTR,TLPEOTR,TLPEOTR,the tau_other of the observation
KW_DPRTYPE,None,DPRTYPE,HIERARCH ESO DPR TYPE,HIERARCH ESO PRO REC1 RAW1 CATG,NONE,the DPRTYPE of the observation
KW_OUTPUT,None,DRSOUTID,None,None,None,the output type of the file
KW_DRSOBJN,None,DRSOBJN,None,None,None,the drs object name
KW_FIBER,None,FIBER,None,None,None,define the FIBER of the observation
KW_WAVETIME,None,WAVETIME,None,None,None,the observation time (mjd) of the wave solution
KW_WAVEFILE,None,WAVEFILE,HIERARCH ESO DRS CAL TH FILE,HIERARCH ESO PRO REC1 CAL15 NAME,NONE,the filename of the wave solution
KW_TLPDVH2O,None,TLPDVH2O,None,None,None,the telluric TELLUCLEAN velocity of water absorbers
KW_TLPDVOTR,None,TLPDVOTR,None,None,None,the telluric TELLUCLEAN velocity of other absorbers
KW_CDBWAVE,None,CDBWAVE,None,None,None,the wave solution used
KW_OBJNAME,None,OBJECT,HIERARCH ESO OBS TARG NAME,HIERARCH ESO OBS TARG NAME,OBJECT,the original object name
KW_RHOMB1,None,SBRHB1_P,None,None,None,the rhomb 1 predefined position
KW_RHOMB2,None,SBRHB2_P,None,None,None,the rhomb 2 predefined position
KW_CDEN_P,None,SBCDEN_P,None,None,None,the calib-reference density
KW_FPI_TEMP,None,SBCFPI_T,None,None,None,the FP Internal Temp: FPBody(deg C)
KW_FPE_TEMP,None,SBCFPE_T,None,None,None,the FP External Temp: FPBody(deg C)
KW_SNRGOAL,None,SNRGOAL,SNRGOAL,NONE,NONE,the SNR goal per pixel per frame
KW_EXT_SNR,None,EXTSN035,HIERARCH ESO DRS SPE EXT SN47,HIERARCH ESO QC ORDER100 SNR,NONE,the SNR in chosen order
KW_BJD,None,BJD,HIERARCH ESO DRS BJD,HIERARCH ESO QC BJD,HIERARCH CARACAL JD,The barycentric julian date
KW_SHAPE_DX,None,SHAPE_DX,None,None,None,The shape code dx value
KW_SHAPE_DY,None,SHAPE_DY,None,None,None,The shape code dy value
KW_SHAPE_A,None,SHAPE_A,None,None,None,The shape code A value
KW_SHAPE_B,None,SHAPE_B,None,None,None,The shape code B value
KW_SHAPE_C,None,SHAPE_C,None,None,None,The shape code C value
KW_SHAPE_D,None,SHAPE_D,None,None,None,The shape code D value
KW_FP_INT_T,None,SBCFPI_T,None,None,None,the header key for FP internal temp [deg C]
KW_FP_INT_P,None,SBCFPB_P,None,None,None,the header key for FP internal pressue [mbar]
KW_REF_KEY,None,DPRTYPE,HIERARCH ESO DPR TYPE,HIERARCH ESO DPR TYPE,NONE,define the reference header key (must also be in rdb table) to distinguish FP calibration files from FP simultaneous files
KW_TEMPERATURE,None,OBJTEMP,None,None,None,the temperature of the object
KW_MODELVEL,None,MODELVEL,MODELVEL,MODELVEL,NONE,Template/model velocity from CCF
KW_NTFILES,LBLNTMPL,LBLNTMPL,LBLNTMPL,LBLNTMPL,LBLNTMPL,Number of files used in template construction
KW_TEMPLATE_COVERAGE,LBLTCOVR,LBLTCOVR,LBLTCOVR,LBLTCOVR,LBLTCOVR,define the berv coverage of a template
KW_TEMPLATE_BERVBINS,LBLTBRVB,LBLTBRVB,LBLTBRVB,LBLTBRVB,LBLTBRVB,define the number of template berv bins
